Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,0.83,-0.95,-0.57,0.54,0.79,-0.06,0.2,-0.03,-0.59,0.62,0.48,0.81,2.07
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.77,-0.56,-0.45,0.53,0.17,-0.05,-0.14,0.26,-0.13,0.38,0.87,0.74,2.41
KOTA LHOKSEUMAWE,0.8,-0.7,-0.09,0.42,0.19,-0.07,-0.07,-0.21,-0.16,0.45,0.82,0.59,1.97
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,0.74,-0.68,-0.29,0.35,-0.3,0.31,0.62,0.05,0.32,0.11,0.47,0.17,1.86
KOTA PEMATANG SIANTAR,1.13,-0.46,-0.23,0.05,0.08,0.23,-0.03,-0.07,0.31,-0.36,0.58,0.85,2.12
KOTA MEDAN,0.38,-0.33,-0.03,0.04,0.24,0.03,0.31,-0.1,0.31,-0.05,0.46,0.44,1.7
KOTA PADANGSIDIMPUAN,0.38,-0.28,-0.57,0.61,0.31,-0.26,0.18,0.23,0.05,0.06,0.44,0.35,1.49
KOTA GUNUNGSITOLI,1.08,-1.55,-0.54,0.59,-0.29,-0.28,0.52,-0.1,-0.13,-0.07,0.71,0.62,0.54
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.1,-0.42,0.32,-0.05,0.19,-0.16,-0.09,-0.1,0.04,0.35,0.7,0.48,1.37
KOTA BUKITTINGGI,0.3,-0.11,0.31,0.19,0.26,-0.26,-0.03,-0.27,0.53,0.41,0.4,-0.04,1.69
TEMBILAHAN,0.3,-0.1,-0.07,0.39,0.01,-0.32,-0.1,-0.42,0.41,0.38,0.33,0.29,1.09
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.47,-0.33,0.15,0.1,-0.04,0.01,0.31,-0.07,0.19,0.29,0.39,0.07,1.55
KOTA DUMAI,0.4,-0.38,-0.04,0.24,0.65,0.02,0.22,-0.26,0.1,0.46,0.36,-0.13,1.66
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.5,-0.46,0.35,-0.26,0.21,-0.39,0.2,-0.2,-0.12,0.78,0.6,0.45,1.65
KOTA JAMBI,0.68,-0.47,0.33,-0.35,0.39,-0.2,-0.21,-0.44,0.3,0.65,0.49,0.48,1.67
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.43,-0.08,0.17,0.33,-0.02,-0.01,-0.06,-0.04,0.05,0.07,0.56,0.42,1.84
KOTA LUBUKLINGGAU,0.3,-0.1,-0.03,0.32,0.34,-0.08,-0.11,-0.21,0.23,0.31,0.29,0.35,1.63
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.39,0.14,0.23,0.1,0.11,0.31,-0.12,0.16,0.17,-0.02,0.52,0.39,2.42
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
